index,ingredient_a,ingredient_b,substitution_direction,similarity_score,substitution_reason,feature_similarity,category_similarity,category_match_level,calculation_details
51,문치가자미,네동가리,문치가자미→네동가리,0.96,"향 유사, 식감 유사",0.9,1.0,세세분류,"Feature유사도: 0.90 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.96 | 공통특성: 가열용, 감칠맛, 담백함, 생선류, 수산물, 흰살생선 | 분류일치: 세세분류: 생선류"
52,네동가리,문치가자미,네동가리→문치가자미,0.96,"향 유사, 식감 유사",0.9,1.0,세세분류,"Feature유사도: 0.90 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.96 | 공통특성: 가열용, 감칠맛, 담백함, 생선류, 수산물, 흰살생선 | 분류일치: 세세분류: 생선류"
53,가자미,조기,가자미→조기,0.96,향 유사,0.89,1.0,세세분류,"Feature유사도: 0.89 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.96 | 공통특성: 감칠맛, 단백함, 비린맛, 생선류, 수산물, 해산물향, 흰살생선 | 분류일치: 세세분류: 생선류"
54,조기,가자미,조기→가자미,0.96,향 유사,0.89,1.0,세세분류,"Feature유사도: 0.89 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.96 | 공통특성: 감칠맛, 단백함, 비린맛, 생선류, 수산물, 해산물향, 흰살생선 | 분류일치: 세세분류: 생선류"
55,홍옥,부사,홍옥→부사,0.95,"단맛 유사, 식감 유사",0.87,1.0,세세분류,"Feature유사도: 0.87 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 과일향, 단맛, 빨간색, 사과향, 신맛, 아삭함 | 분류일치: 세세분류: 과일"
56,부사,홍옥,부사→홍옥,0.95,"단맛 유사, 식감 유사",0.87,1.0,세세분류,"Feature유사도: 0.87 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 과일향, 단맛, 빨간색, 사과향, 신맛, 아삭함 | 분류일치: 세세분류: 과일"
57,리치,람부탄,리치→람부탄,0.95,단맛 유사,0.87,1.0,세세분류,"Feature유사도: 0.87 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 과일향, 단맛, 신맛, 열대과일, 쫄깃함, 하얀색 | 분류일치: 세세분류: 과일"
58,람부탄,리치,람부탄→리치,0.95,단맛 유사,0.87,1.0,세세분류,"Feature유사도: 0.87 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 과일향, 단맛, 신맛, 열대과일, 쫄깃함, 하얀색 | 분류일치: 세세분류: 과일"
59,귤,레드향,귤→레드향,0.95,단맛 유사,0.87,1.0,세세분류,"Feature유사도: 0.87 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 과일향, 단맛, 시트러스향, 신맛, 주황색, 즙많음 | 분류일치: 세세분류: 과일"
60,레드향,귤,레드향→귤,0.95,단맛 유사,0.87,1.0,세세분류,"Feature유사도: 0.87 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 과일향, 단맛, 시트러스향, 신맛, 주황색, 즙많음 | 분류일치: 세세분류: 과일"
61,김밥김,김,김밥김→김,0.95,향 유사,0.87,1.0,세세분류,"Feature유사도: 0.87 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 김류, 바다향, 식감추가, 짠맛, 해조류 | 분류일치: 세세분류: 김류"
62,김,김밥김,김→김밥김,0.95,향 유사,0.87,1.0,세세분류,"Feature유사도: 0.87 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 김류, 바다향, 식감추가, 짠맛, 해조류 | 분류일치: 세세분류: 김류"
63,미꾸라지,메기,미꾸라지→메기,0.95,향 유사,0.87,1.0,세세분류,"Feature유사도: 0.87 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 민물생선, 생선류, 수산물, 지방풍미, 흙맛 | 분류일치: 세세분류: 생선류"
64,메기,미꾸라지,메기→미꾸라지,0.95,향 유사,0.87,1.0,세세분류,"Feature유사도: 0.87 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 민물생선, 생선류, 수산물, 지방풍미, 흙맛 | 분류일치: 세세분류: 생선류"
65,가자미,도미,가자미→도미,0.95,향 유사,0.88,1.0,세세분류,"Feature유사도: 0.88 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 단백함, 비린맛, 생선류, 수산물, 해산물향, 흰살생선 | 분류일치: 세세분류: 생선류"
66,도미,가자미,도미→가자미,0.95,향 유사,0.88,1.0,세세분류,"Feature유사도: 0.88 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 단백함, 비린맛, 생선류, 수산물, 해산물향, 흰살생선 | 분류일치: 세세분류: 생선류"
67,가자미,병어,가자미→병어,0.95,향 유사,0.87,1.0,세세분류,"Feature유사도: 0.87 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 단백함, 비린맛, 생선류, 수산물, 해산물향, 흰살생선 | 분류일치: 세세분류: 생선류"
68,병어,가자미,병어→가자미,0.95,향 유사,0.87,1.0,세세분류,"Feature유사도: 0.87 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 단백함, 비린맛, 생선류, 수산물, 해산물향, 흰살생선 | 분류일치: 세세분류: 생선류"
69,가자미,대구,가자미→대구,0.95,향 유사,0.88,1.0,세세분류,"Feature유사도: 0.88 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 단백함, 비린맛, 생선류, 수산물, 해산물향, 흰살생선 | 분류일치: 세세분류: 생선류"
70,대구,가자미,대구→가자미,0.95,향 유사,0.88,1.0,세세분류,"Feature유사도: 0.88 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 단백함, 비린맛, 생선류, 수산물, 해산물향, 흰살생선 | 분류일치: 세세분류: 생선류"
71,도미,조기,도미→조기,0.95,향 유사,0.88,1.0,세세분류,"Feature유사도: 0.88 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 단백함, 비린맛, 생선류, 수산물, 해산물향, 흰살생선 | 분류일치: 세세분류: 생선류"
72,조기,도미,조기→도미,0.95,향 유사,0.88,1.0,세세분류,"Feature유사도: 0.88 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 단백함, 비린맛, 생선류, 수산물, 해산물향, 흰살생선 | 분류일치: 세세분류: 생선류"
73,도미,대구,도미→대구,0.95,향 유사,0.86,1.0,세세분류,"Feature유사도: 0.86 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 단백함, 비린맛, 생선류, 수산물, 해산물향, 흰살생선 | 분류일치: 세세분류: 생선류"
74,대구,도미,대구→도미,0.95,향 유사,0.86,1.0,세세분류,"Feature유사도: 0.86 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 단백함, 비린맛, 생선류, 수산물, 해산물향, 흰살생선 | 분류일치: 세세분류: 생선류"
75,조기,병어,조기→병어,0.95,향 유사,0.87,1.0,세세분류,"Feature유사도: 0.87 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 단백함, 비린맛, 생선류, 수산물, 해산물향, 흰살생선 | 분류일치: 세세분류: 생선류"
76,병어,조기,병어→조기,0.95,향 유사,0.87,1.0,세세분류,"Feature유사도: 0.87 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 단백함, 비린맛, 생선류, 수산물, 해산물향, 흰살생선 | 분류일치: 세세분류: 생선류"
77,조기,대구,조기→대구,0.95,향 유사,0.88,1.0,세세분류,"Feature유사도: 0.88 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 단백함, 비린맛, 생선류, 수산물, 해산물향, 흰살생선 | 분류일치: 세세분류: 생선류"
78,대구,조기,대구→조기,0.95,향 유사,0.88,1.0,세세분류,"Feature유사도: 0.88 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 단백함, 비린맛, 생선류, 수산물, 해산물향, 흰살생선 | 분류일치: 세세분류: 생선류"
79,임연수어,병어,임연수어→병어,0.95,향 유사,0.88,1.0,세세분류,"Feature유사도: 0.88 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 단백함, 부드러움, 비린맛, 생선류, 수산물, 해산물향 | 분류일치: 세세분류: 생선류"
80,병어,임연수어,병어→임연수어,0.95,향 유사,0.88,1.0,세세분류,"Feature유사도: 0.88 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 단백함, 부드러움, 비린맛, 생선류, 수산물, 해산물향 | 분류일치: 세세분류: 생선류"
81,고등어,청어,고등어→청어,0.95,향 유사,0.87,1.0,세세분류,"Feature유사도: 0.87 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 기름짐, 단백함, 등푸른생선, 비린맛, 해산물향 | 분류일치: 세세분류: 생선류"
82,청어,고등어,청어→고등어,0.95,향 유사,0.87,1.0,세세분류,"Feature유사도: 0.87 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 기름짐, 단백함, 등푸른생선, 비린맛, 해산물향 | 분류일치: 세세분류: 생선류"
83,농어,다금바리,농어→다금바리,0.95,향 유사,0.87,1.0,세세분류,"Feature유사도: 0.87 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 고급풍미, 단백함, 비린맛, 해산물향, 흰살생선 | 분류일치: 세세분류: 생선류"
84,다금바리,농어,다금바리→농어,0.95,향 유사,0.87,1.0,세세분류,"Feature유사도: 0.87 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 고급풍미, 단백함, 비린맛, 해산물향, 흰살생선 | 분류일치: 세세분류: 생선류"
85,모자반,톳,모자반→톳,0.95,향 유사,0.87,1.0,세세분류,"Feature유사도: 0.87 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.95 | 공통특성: 감칠맛, 바다향, 식감추가, 오독함, 은은함, 해조류 | 분류일치: 세세분류: 해조류"
