ingredient_keyword,coupang_url,priority,active,recipe_count,rank
들깨,https://link.coupang.com/a/gSMYkgpGjQ,C,Y,142,218
연어,https://link.coupang.com/a/gSMX1fzy7U,B,Y,131,219
쌀가루,https://link.coupang.com/a/gSMYTWD7LM,C,Y,127,220
와인,https://link.coupang.com/a/gSMYt50Tnw,A,Y,118,221
바지락,https://link.coupang.com/a/gSMXQtPQRg,B,Y,117,222
골뱅이,https://link.coupang.com/a/gSMZEjPIe4,B,Y,107,223
땅콩,https://link.coupang.com/a/gSMZughxQq,C,Y,97,224
메이플시럽,https://link.coupang.com/a/gSMY6CsX9g,A,Y,96,225
문어,https://link.coupang.com/a/gSMZXCNxNk,B,Y,91,226
엑스트라버진,https://link.coupang.com/a/gSM2FGivIq,B,Y,77,227
매실,https://link.coupang.com/a/gSMYJXXKx2,A,Y,69,228
홍합,https://link.coupang.com/a/gSMZObTq3g,B,Y,57,229
원두,https://link.coupang.com/a/gSMZkjVd7s,B,Y,55,230
리코타,https://link.coupang.com/a/gSM0AEX8Lc,B,Y,54,231
아스파라거스,https://link.coupang.com/a/gSM0hOZkSO,C,Y,53,232
등심,https://link.coupang.com/a/gSMZ8Bwk0a,A,Y,49,233
트러플,https://link.coupang.com/a/gSM2Ppt67w,A,Y,38,234
가리비,https://link.coupang.com/a/gSM1oKQn3k,A,Y,29,235
안심,https://link.coupang.com/a/gSM0qzDPc4,A,Y,28,236
오리고기,https://link.coupang.com/a/gSM0JIZZDg,C,Y,25,237
치커리,https://link.coupang.com/a/gSM0SLoDro,C,Y,24,238
사리면,https://link.coupang.com/a/gSM1JTIAG4,C,Y,22,239
관자,https://link.coupang.com/a/gSM1y752Lk,A,Y,21,240
한우,https://link.coupang.com/a/gSM4epKwEu,A,Y,18,241
수수,https://link.coupang.com/a/gSM1UuCV3s,B,Y,16,242
페퍼,https://link.coupang.com/a/gSM1d60aYe,C,Y,14,243
간,https://link.coupang.com/a/gSM3zQwU4O,C,Y,13,244
멍게,https://link.coupang.com/a/gSM2l1DZWm,A,Y,13,245
드레싱,https://link.coupang.com/a/gSM2u2CJqu,C,Y,12,246
넙치,https://link.coupang.com/a/gSM2c3zTsi,B,Y,10,247
송이버섯,https://link.coupang.com/a/gSM3p1W1wO,B,Y,7,248
고르곤졸라,https://link.coupang.com/a/gSM4Wn642m,B,Y,5,249
까나리,https://link.coupang.com/a/gSM20l3QMS,C,Y,5,250
도미,https://link.coupang.com/a/gSM3SY6K9A,B,Y,1,251
랍스터,https://link.coupang.com/a/gSM46HorfM,A,Y,1,252
파마산,https://link.coupang.com/a/gSM3bivQXc,B,Y,1,253
피자,https://link.coupang.com/a/gSM14bbAUS,C,Y,1,254
해삼,https://link.coupang.com/a/gSM31TpBT2,A,Y,1,255
대게,https://link.coupang.com/a/gSM3JV8U5k,A,Y,0,256
배추 김치,https://link.coupang.com/a/gSMVeenqcS,D,Y,0,257
샴페인,https://link.coupang.com/a/gSM4nCzWyy,A,Y,0,258
성게,https://link.coupang.com/a/gSM4ABAlrw,A,Y,0,259
와규,https://link.coupang.com/a/gSM4LEN1rg,A,Y,0,260
캐비어,https://link.coupang.com/a/gSM5kSLETk,A,Y,0,261
킹크랩,https://link.coupang.com/a/gSM5vCYiu4,A,Y,0,262
푸아그라,https://link.coupang.com/a/gSM5PI9Oy4,A,Y,0,263
황다랑어,https://link.coupang.com/a/gSM50JO6oe,A,Y,0,264
